MOVIE TITLE,RELEASE YEAR,RUNTIME,IMDB RATING,IMDB VOTES,WORLDWIDE GROSS,ESTIMATED BUDGET,PROFIT,MOVIE REVIEW
"20,000 Leagues Under the Sea",1954,127,7.2,32036,1915396,9000000,-7084604,0
The Thing,1982,109,8.1,359159,7821228,15000000,-7178772,0
Showgirls,1995,128,4.9,64617,37702961,45000000,-7297039,0
Beyond Rangoon,1995,100,6.6,5086,14700000,23000000,-8300000,0
Feast of July,1995,116,6.2,549,14700000,23000000,-8300000,1
Roommates,1995,108,6.4,1825,12400000,22000000,-9600000,0
Multiplicity,1996,117,6.1,31028,34100000,45000000,-10900000,0
Michael Collins,1996,133,7.2,30526,16900000,28000000,-11100000,0
The Ruling Class,1972,154,7.4,6037,16900000,28000000,-11100000,0
Chain Reaction,1996,107,5.7,50714,38200000,50000000,-11800000,0
Red Corner,1997,122,6.3,16814,35100000,48000000,-12900000,0
Primary Colors,1998,143,6.7,28234,52055057,65000000,-12944943,0
My Fair Lady,1964,170,7.8,90181,3047608,17000000,-13952392,1
Dark City,1998,100,7.6,192794,12821985,27000000,-14178015,0
The American President,1995,114,6.8,54770,47800000,62000000,-14200000,0
Mortal Kombat: Annihilation,1997,95,3.7,52632,15449455,30000000,-14550545,0
Bent,1997,105,7.2,8033,15449455,30000000,-14550545,0
The Hudsucker Proxy,1994,111,7.2,78787,14991000,30000000,-15009000,0
The NeverEnding Story III,1994,95,3.2,12331,1331408,17000000,-15668592,0
Kansas City,1996,116,6.3,4647,2500000,19000000,-16500000,0
The Frighteners,1996,110,7.1,84618,12600000,30000000,-17400000,0
Tank Girl,1995,104,5.4,31110,6600000,25000000,-18400000,0
Double Happiness,1994,87,7,1137,6600000,25000000,-18400000,1
The Ghost and the Darkness,1996,110,6.8,58775,36400000,55000000,-18600000,1
Down Periscope,1996,92,6.2,23331,11768149,31000000,-19231851,0
The Three Musketeers,1993,105,6.4,52476,10712024,30000000,-19287976,0
Kingpin,1996,114,6.9,80106,7200000,27000000,-19800000,0
Once Upon a Time in America,1984,229,8.4,325562,8157411,30000000,-21842589,0
Fled,1996,98,5.4,8860,2800000,25000000,-22200000,1
Terminal Velocity,1994,102,5.5,13349,26978900,50000000,-23021100,0
Fair Game,1995,91,4.3,12612,26134477,50000000,-23865523,0
Eddie,1996,100,5.2,10804,5700000,30000000,-24300000,0
The Fifth Element,1997,126,7.7,447077,67683989,93000000,-25316011,0
Shall We Dance?,1996,136,7.7,10816,67683989,93000000,-25316011,0
City Hall,1996,111,6.2,20125,13100000,40000000,-26900000,0
Rob Roy,1995,139,6.9,41591,65000,28000000,-27935000,1
The Glimmer Man,1996,91,5.4,19481,16000000,45000000,-29000000,0
Pollyanna,1960,134,7.4,9732,16000000,45000000,-29000000,0
The Shaggy Dog,1959,104,6.5,4750,16000000,45000000,-29000000,0
Dracula: Dead and Loving It,1995,88,5.9,40117,682514,30000000,-29317486,0
Now and Then,1995,100,6.8,28191,682514,30000000,-29317486,0
Mr. Wrong,1996,96,3.8,5023,682514,30000000,-29317486,0
Last Man Standing,1996,101,6.4,56203,33200000,67000000,-33800000,0
Mary Reilly,1996,108,5.8,14573,12272308,47000000,-34727692,1
The Chamber,1996,113,6,14749,7989000,50000000,-42011000,0
Speed 2: Cruise Control,1997,121,3.9,78231,115900000,160000000,-44100000,0
Braveheart,1995,178,8.3,984603,4259710,72000000,-67740290,0
Hercules,1997,93,7.3,214521,806649,85000000,-84193351,0
